视频名称,发布日期,备注
2021年总结及展望，降低风险偏好，关注低位疫情受损股、北京房产,2021-12-31,
4字头｜别人笑我太疯癫，我笑他人看不穿,2021-07-12,
8.6港币抄底呷哺，佛祖保佑,2021-06-15,
Antimony Molten Salt Batteries - The New Metal in Mass Storage - 对Sb没兴趣慎入,2021-08-13,
A股是资金推动市，大轮动套小轮动，从极度低估到极度高估才是最肥美的，逻辑是用来激发股价和坚定信念的,2021-08-20,
ChatGPT产业链投资分析：下游胜负未知，重点布局上游指数增长算力股：GPU、CPO、浸没冷却,2023-02-27,
【直播回放】ChatGPT专场：聚齐北大、华科、安大、莫大等人才，数据科学、人工智能、集成电路、互联网（美团、百度、微博）等行业,2023-02-11,
【直播回放】速读《炒股的智慧》,,读书分享
【韭菜炒股自白2】,2022-04-26,
【韭菜炒股自白】,2022-02-01,
一夜回到解放前,2021-06-16,
一把拉回｜老三样继续奏乐，趋势何时打破，我猜疫情结束,2021-07-29,
三件事：十万粉、股票复盘、买房糟心事,2022-03-06,
个股和热点分析：比亚迪杯柄形态，川能动力缩量买点，周黑鸭大股东减持，格力多元化，三峡能源卖点，比特币暴跌,2021-06-22,
中国汽车运输船队（滚装船队）发展前景初步分析,2022-07-25,
中特估之我见,2023-05-08,
为什么我永远买不到妖股？比亚迪 微芯生物,2021-12-18,
亏傻了｜石大盘中异动，跌停部分止盈，锂电行情未完，我拿利润格局（8.6右侧补呷哺，41支撑补微芯）,2021-07-14,
什么是格局？不是瞎捂，要结合行业景气度，本质属于价值投机,2021-08-31,
今天又去了呷哺呷哺，要不要听娃的，纠结ing,2022-01-08,
从宏观角度看，这里也许是全面牛？,2022-11-09,
倔强红｜机构调仓、抱团松动，混乱中孕育希望,2021-07-06,
全红跑输大盘｜聊聊三峡能源、猪肉股、光伏碳中和、股市的反人性（清仓阿胶，43追微芯生物）,2021-06-25,
关于止盈和止损：高位看趋势，低位看基本面，搞反必亏，搞对也不一定赚。,2021-11-05,
别浪，来学习当前市场上的看空理由,2022-06-01,
加仓，订车，买房,2022-05-17,
半仓是一种智慧,2022-04-25,
卖飞比套牢还难受？克服这个弱点再谈穿越牛熊,2021-07-21,
又双叒新高｜比亚迪、天润乳业以及杠杆运用,2021-06-18,
又要开盘了，复盘捋思路：宏观篇。谁说A股不如足球？,2022-02-05,
又麻了｜聊聊赚钱时的心态管理、指数行情出现时机、高位出货形态（马前炮）,2021-07-07,
叕新高但有隐隐不安，低位科创板走牛逻辑与选股要点（44继续加微芯生物）,2021-06-28,
听说发视频可以救大盘，猜猜我的比亚迪汉ev冷却液是什么颜色？,2021-07-26,
在倔强红中找机会，建仓低位油气股,2022-08-24,
坚信你的持仓，构建你的体系。切忌去强留弱，否则满手垃圾。,2022-03-07,
大回撤｜聊聊仓位管理和心态调整（呷哺，比亚迪，锂矿迎来曙光）,2021-07-01,
大盘走势分析，中无人机的选股逻辑,2022-07-11,
如何面对爱股卖飞的事实？,2022-02-07,
如果找不到今天暴跌的理由，那才是最可怕的,2022-03-09,
宝我今天走神了，走的什么神？比亚迪永远的神！,2021-06-17,
家庭地位日益降低，消费降级迫在眉睫,2023-08-25,
对船周期的初步学习和思考，突破走势先追一笔避免踏空（中国船舶和中国重工）,2021-08-27,
对话实录：与专利女神讨论比亚迪刀片电池,2021-12-13,
小金属的战略性机会？仰望U9正在向我招手,2023-07-05,
常温超导的投资机会【1】—扫盲篇,2023-08-02,
建仓华东医药、盐湖股份,2021-12-09,
微跌｜讨论大逻辑、粉丝构成、宁德没量、分化走势、天润减仓、热点新闻,2021-06-30,
心理按摩师准时上岗,2021-06-02,
慌什么慌｜ 成交这么大，机构在调仓，半仓低位股，晚上睡得香，黑天鹅过后，迎接新主线，主线是什么，我猜老三样,2021-07-27,
成交量越高，我越兴奋,2021-09-01,
我与比亚迪唐dm和汉ev的故事,2022-01-26,
我的持仓分配、选股理念、轮动策略、抄底标准,2021-06-22,
拿不太准时候用仓位来管理心态,2022-07-06,
挤上诺亚方舟｜聊聊国际大格局：锂矿、美元⧸欧元、房产,2021-07-02,
接昨天视频：回忆融捷，以史为鉴（没有建议买入）,2021-09-22,
操作复盘1：航发动力（2013年6月-2015年6月）,2022-07-02,
新能源预计像白酒，高位震荡；旧能源如果不破位，继续畅想；保留一部分现金，左侧抄价值股，右侧抄投机股。,2022-09-26,
新高复新高｜预测不是好习惯，跌破趋势慎死扛，股市一切皆周期，勿把运气当实力。,2021-07-09,
旗帜鲜明站比亚迪，兼谈逃顶后又追高锂矿股的骚操作。,2021-07-25,
日常闲聊系列：低位格局等风来，高位享受按趋势，几只分仓稳心态，不上融资保平安,2021-10-12,
日常闲聊系列：无标题,2021-10-26,
日常闲聊：周期、仓位、技术、美债、加息,2021-09-14,
春节后复盘捋思路：个股篇。投机仓位走人，价值仓位坚守。,2022-02-05,
来b站实盘1个月了，几点思考和建议送给大家（2021下半年行情前瞻，降准不影响长期趋势）,2021-07-10,
正式出坑，聊聊大盘、比亚迪、锂矿格局,2021-06-11,
每日大盘、热点、自选股复盘-2021年6月7日,2021-06-07,
每日大盘、热点、自选股复盘｜byd yyds，白酒就到这了,2021-06-08,
汽车双积分政策学习心得及未来积分价格推演：5000⧸分不是梦,2021-08-23,
汽车要调整，版块在切换，月K很好看，目标三千五。,2022-06-29,
