类别,关键词,出现文件数,总提及次数,是否股票,可能含义,备注
✓已确认股票,比亚迪,24,32,✓,,
✓已确认股票,宁德时代,8,17,✓,,
✓已确认股票,金风科技,5,8,✓,,
✓已确认股票,中芯国际,4,7,✓,,
✓已确认股票,苹果,3,6,✓,,
✓已确认股票,谷歌,2,5,✓,,
✓已确认股票,航发动力,4,5,✓,,
⚠️模糊词汇,大盘,10,12,?,上证指数/整体市场,"700亿啊
然后当日大盘上正大盘
也就只有1500"
⚠️模糊词汇,周期,8,9,?,周期性行业,"是比较低估的
万五接周期
不光是说是周期股是周期
"
⚠️模糊词汇,港股,4,6,?,香港股市,"股
我我认为去买他的港股
港股
但是港股的走势就没"
⚠️模糊词汇,军工,4,5,?,国防军工行业,"后今天还有一个就是
军工在找
军工
军工我其实早就"
❓行业/概念,高端制造,9,12,?,行业或概念词,
❓行业/概念,房地产,10,11,?,行业或概念词,
❓行业/概念,数字货币,4,6,?,行业或概念词,
❓行业/概念,虚拟货币,2,4,?,行业或概念词,
❓行业/概念,小金属,2,3,?,行业或概念词,
❓行业/概念,固态电池,3,3,?,行业或概念词,
❓行业/概念,比特币,2,3,?,行业或概念词,
❓行业/概念,房价,2,3,?,行业或概念词,
